시군구명,x,y,광역시도,행정구역,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울특별시 종로구,6,3,서울특별시,종로구,"186,378","184,225","181,231","177,519","174,372","169,315","166,793","165,846","170,705","168,603","170,578","168,382","165,207","160,070","156,993","154,986","152,737","154,770","153,065","151,290","149,384","144,683","141,379","139,417","138,336"
서울특별시 중구,6,4,서울특별시,중구,"141,010","143,016","138,134","134,548","131,971","130,027","130,649","130,044","130,362","129,465","132,822","133,193","133,360","130,465","128,065","125,733","125,249","125,709","125,725","126,171","125,240","122,499","120,437","121,312","120,544"
서울특별시 용산구,6,5,서울특별시,용산구,"240,087","241,033","234,653","231,871","230,107","230,260","232,035","235,832","238,224","238,708","244,853","246,501","243,232","239,740","235,951","233,342","230,241","229,161","228,999","228,670","230,040","222,953","218,650","213,151","203,854"
서울특별시 성동구,7,5,서울특별시,성동구,"340,790","341,375","340,773","339,368","339,113","337,744","334,437","333,535","314,212","308,058","309,093","300,711","299,604","299,337","296,086","297,003","299,259","304,808","308,221","300,889","293,556","285,990","281,000","277,361","273,669"
서울특별시 광진구,7,6,서울특별시,광진구,"391,309","388,109","386,511","384,929","380,537","375,613","374,442","376,572","375,482","373,998","375,463","371,936","371,313","368,927","363,354","360,369","357,215","357,703","355,559","351,350","346,682","339,996","337,416","335,554","331,963"
서울특별시 동대문구,7,4,서울특별시,동대문구,"380,444","381,799","381,841","382,875","379,404","381,110","378,860","376,421","370,250","362,146","366,786","365,486","363,258","364,273","363,687","360,153","355,069","350,647","348,052","346,194","342,837","337,400","336,644","341,149","338,735"
서울특별시 중랑구,8,4,서울특별시,중랑구,"458,440","448,928","442,125","436,089","433,858","427,373","426,078","427,071","427,871","424,761","427,455","423,706","419,295","416,798","418,836","413,909","411,005","408,226","403,209","397,015","394,702","387,350","385,318","382,155","379,274"
서울특별시 성북구,6,2,서울특별시,성북구,"460,862","450,602","443,809","453,057","451,122","462,879","472,843","469,973","473,357","476,028","488,932","485,171","481,857","476,589","466,706","459,275","450,355","444,055","435,868","442,650","437,153","430,528","430,397","425,602","421,560"
서울특별시 강북구,5,2,서울특별시,강북구,"351,995","351,404","361,896","360,663","360,525","353,260","348,990","345,478","342,274","340,367","346,520","345,054","343,157","338,707","335,025","330,873","327,195","324,479","319,164","313,954","308,055","299,182","293,660","288,113","283,597"
서울특별시 도봉구,5,1,서울특별시,도봉구,"370,976","371,259","371,911","376,599","381,939","381,529","377,534","375,975","373,936","369,733","368,298","365,573","362,270","358,582","353,709","351,242","348,220","344,166","339,413","333,362","325,257","317,366","311,694","306,948","303,228"
서울특별시 노원구,6,1,서울특별시,노원구,"632,634","646,905","641,652","631,931","628,184","622,003","618,093","616,753","615,981","610,616","611,230","603,930","597,189","590,479","582,552","574,583","567,581","554,403","543,752","532,905","523,037","510,956","503,734","498,213","491,247"
서울특별시 은평구,4,3,서울특별시,은평구,"469,417","467,719","470,205","474,778","478,087","470,751","464,580","459,196","458,401","465,895","488,109","493,634","501,480","503,660","498,644","497,920","491,476","486,794","483,197","480,032","479,835","473,307","466,746","466,770","460,919"
서울특별시 서대문구,5,3,서울특별시,서대문구,"367,380","366,228","362,614","355,753","352,071","349,163","349,020","348,575","331,688","327,451","324,541","314,852","315,113","314,110","310,376","312,141","314,194","312,800","310,313","309,397","312,173","304,819","306,337","306,231","302,853"
서울특별시 마포구,5,4,서울특별시,마포구,"387,308","379,141","375,417","379,451","383,457","388,164","390,583","392,650","385,119","384,013","391,865","389,493","384,644","381,856","385,439","387,643","379,892","374,915","375,077","374,035","371,890","368,905","364,638","363,697","361,417"
서울특별시 양천구,4,5,서울특별시,양천구,"486,781","484,345","484,518","486,962","495,098","499,755","501,717","503,650","502,343","501,395","500,001","500,210","495,911","492,528","486,221","484,532","477,739","471,154","464,185","458,165","454,251","447,302","440,881","436,028","430,976"
서울특별시 강서구,4,4,서울특별시,강서구,"521,231","521,489","528,321","537,003","541,671","553,660","554,945","560,424","576,848","572,836","574,127","569,072","567,431","569,070","585,160","589,074","595,485","601,691","596,949","591,796","580,185","574,315","569,166","563,058","556,171"
서울특별시 구로구,4,7,서울특별시,구로구,"403,097","415,330","413,363","412,845","416,828","416,405","419,832","420,542","420,795","421,967","423,736","427,468","427,520","424,964","425,831","422,092","417,551","410,742","404,497","406,664","404,408","396,754","395,315","392,405","388,169"
서울특별시 금천구,5,7,서울특별시,금천구,"266,431","260,476","261,413","261,224","259,633","256,902","253,243","249,108","247,320","244,835","245,195","243,438","243,288","241,020","238,463","236,284","235,386","235,154","233,917","232,810","231,733","230,811","229,642","227,481","225,159"
서울특별시 영등포구,4,6,서울특별시,영등포구,"406,510","406,860","408,753","403,327","406,261","408,386","408,698","408,178","408,099","405,798","406,833","397,443","391,408","386,471","382,352","378,504","370,613","368,550","367,778","367,678","379,480","376,837","375,675","374,794","373,773"
서울특별시 동작구,5,5,서울특별시,동작구,"415,892","406,116","403,047","410,360","410,945","410,481","408,582","405,967","400,866","397,920","402,709","401,408","405,491","410,815","407,470","400,641","400,997","396,217","396,203","395,963","391,220","385,483","380,596","378,769","375,799"
서울특별시 관악구,5,6,서울특별시,관악구,"524,404","527,764","522,207","522,456","530,156","530,020","535,217","535,571","534,556","529,869","531,434","526,397","523,029","518,028","513,186","509,663","506,851","503,297","501,957","500,094","495,060","485,699","486,752","481,956","477,812"
서울특별시 서초구,6,6,서울특별시,서초구,"397,869","393,849","389,256","394,757","400,868","401,736","408,266","405,969","406,320","425,481","434,720","433,564","435,044","441,763","449,678","446,764","447,192","441,102","433,951","430,826","425,126","412,279","404,325","407,664","408,376"
서울특별시 강남구,6,7,서울특별시,강남구,"550,343","540,640","535,138","528,977","531,517","540,909","556,964","560,958","557,832","562,138","570,095","565,710","564,197","563,599","578,114","576,495","567,115","556,164","542,364","545,169","539,231","533,042","529,102","544,873","557,345"
서울특별시 송파구,8,6,서울특별시,송파구,"663,177","655,483","647,037","619,514","604,293","605,840","607,005","623,876","668,962","681,476","685,279","682,209","673,115","668,415","664,738","660,302","657,831","664,496","666,635","675,961","667,960","658,338","658,801","654,166","650,110"
서울특별시 강동구,8,5,서울특별시,강동구,"496,549","489,241","481,470","477,230","471,145","464,059","461,760","464,546","469,024","484,745","491,871","495,138","487,905","483,379","476,597","458,658","444,168","436,223","427,573","436,067","459,970","462,664","460,067","459,167","476,942"
부산광역시 중구,10,18,부산광역시,중구,"58,193","57,056","55,671","54,371","53,179","51,957","50,766","50,004","49,565","48,905","49,442","48,686","48,148","47,345","46,737","45,816","45,208","44,218","42,795","41,910","41,523","40,524","39,689","38,619","37,537"
부산광역시 서구,9,18,부산광역시,서구,"154,753","151,874","148,020","144,305","142,460","139,607","136,226","132,803","129,385","125,785","126,040","123,718","120,828","118,783","118,115","115,963","112,973","110,039","110,534","108,229","108,135","105,164","105,192","104,089","103,188"
부산광역시 동구,10,17,부산광역시,동구,"127,138","124,303","121,043","117,617","114,204","109,879","106,890","104,881","102,764","101,153","101,514","100,420","98,529","96,011","94,565","92,069","89,826","88,868","86,912","88,165","88,901","87,679","86,462","87,792","85,911"
부산광역시 영도구,10,19,부산광역시,영도구,"184,488","179,841","174,678","170,355","166,054","162,961","158,780","155,273","152,118","148,139","146,798","143,205","139,765","135,816","132,102","129,385","126,362","123,521","120,109","116,711","113,342","110,638","108,156","106,548","103,737"
부산광역시 부산진구,10,16,부산광역시,부산진구,"430,373","426,518","420,645","410,603","405,534","410,610","405,775","402,359","400,516","395,689","395,826","395,044","392,731","389,765","387,378","381,572","376,526","371,703","362,357","357,880","359,886","353,159","355,917","359,508","359,281"
부산광역시 동래구,11,16,부산광역시,동래구,"300,081","295,361","290,396","282,056","279,366","276,095","279,528","284,901","282,673","281,644","282,779","283,742","278,767","276,689","275,971","272,837","272,745","270,727","266,515","271,247","270,745","266,866","273,226","270,815","274,370"
부산광역시 남구,11,19,부산광역시,남구,"299,518","302,642","305,375","307,287","304,481","302,257","297,893","296,666","298,314","297,963","298,458","295,121","291,175","291,770","286,989","283,101","278,779","273,854","279,917","274,480","267,731","262,069","256,333","254,185","254,498"
부산광역시 북구,9,16,부산광역시,북구,"307,238","311,481","320,976","326,710","333,316","335,699","330,446","325,302","318,859","314,227","312,218","307,988","312,937","309,719","306,974","310,484","310,202","302,924","296,952","291,132","283,952","283,211","278,857","273,596","267,692"
부산광역시 해운대구,12,17,부산광역시,해운대구,"408,842","407,562","401,663","403,585","403,432","404,599","418,875","423,816","424,455","424,974","426,729","425,618","428,188","425,536","423,531","422,818","419,853","412,039","409,347","406,102","402,169","396,438","386,785","380,448","376,404"
부산광역시 사하구,9,19,부산광역시,사하구,"388,020","383,864","378,236","375,283","374,248","371,909","366,865","364,693","365,368","359,800","358,730","355,443","352,726","349,110","343,371","337,781","334,603","333,301","327,791","321,004","311,757","306,003","301,987","297,831","292,491"
부산광역시 금정구,10,15,부산광역시,금정구,"292,187","285,760","278,511","274,696","271,046","264,880","263,338","258,934","256,398","252,039","255,419","254,720","255,692","253,526","249,856","246,026","244,624","244,469","242,956","239,062","232,666","228,049","221,256","215,590","209,932"
부산광역시 강서구,8,18,부산광역시,강서구,"62,137","60,457","58,288","56,415","54,711","53,808","53,169","51,819","52,156","60,372","62,594","64,733","65,806","69,873","79,619","94,608","108,909","117,382","122,957","129,566","137,957","142,918","143,207","142,396","142,789"
부산광역시 연제구,11,17,부산광역시,연제구,"223,344","226,267","228,268","225,473","221,853","217,763","214,809","212,658","212,810","210,390","212,696","213,326","211,536","209,290","208,012","210,718","207,268","206,742","207,840","209,395","209,157","207,144","203,536","205,766","212,589"
부산광역시 수영구,11,18,부산광역시,수영구,"184,743","181,075","177,881","177,119","180,576","178,684","177,814","178,253","177,140","177,292","178,267","176,691","176,666","175,098","178,480","179,795","179,324","179,996","176,246","176,148","176,894","175,095","174,806","174,518","171,918"
부산광역시 사상구,9,17,부산광역시,사상구,"301,127","300,309","294,090","287,938","282,097","277,481","271,484","265,512","260,897","255,274","257,843","254,413","250,424","246,797","242,953","237,711","232,800","229,219","223,361","218,094","212,586","208,298","203,789","202,932","198,635"
부산광역시 기장군,12,16,부산광역시,기장군,"74,324","76,166","76,384","77,632","79,788","80,104","79,334","79,565","81,159","89,384","102,557","108,095","114,566","132,507","144,748","153,093","158,527","161,651","164,864","164,716","174,545","177,125","178,614","178,729","175,626"
대구광역시 중구,10,13,대구광역시,중구,"91,880","89,577","87,070","83,517","79,911","80,081","78,615","79,093","78,824","77,585","77,857","76,600","75,439","76,246","78,812","80,928","79,712","78,986","79,401","77,421","76,547","74,791","80,199","89,064","97,711"
대구광역시 동구,11,13,대구광역시,동구,"338,052","336,272","333,134","339,511","344,328","344,082","337,902","336,049","330,996","331,421","337,529","341,206","342,092","343,802","347,975","349,728","351,352","349,379","351,291","345,469","341,920","341,436","339,530","342,813","342,339"
대구광역시 서구,8,14,대구광역시,서구,"286,197","280,075","272,752","264,699","258,098","251,004","243,560","237,757","228,720","225,193","224,618","222,619","220,211","215,399","210,770","206,028","199,507","191,992","184,372","175,277","170,700","164,528","159,827","164,088","163,135"
대구광역시 남구,9,14,대구광역시,남구,"196,286","192,629","189,725","185,566","181,381","180,011","180,481","178,530","175,317","171,873","171,197","169,095","168,715","166,062","163,492","160,852","156,433","152,845","150,501","148,113","146,632","143,175","141,519","139,187","136,263"
대구광역시 북구,9,13,대구광역시,북구,"409,353","414,305","435,209","446,318","459,741","464,559","468,030","463,056","461,518","453,367","452,505","449,775","448,485","444,359","444,375","443,119","440,383","441,375","439,489","437,710","440,263","437,008","430,912","419,624","413,010"
대구광역시 수성구,10,14,대구광역시,수성구,"459,658","456,487","446,879","448,430","443,881","437,356","440,172","447,164","451,732","456,196","461,988","461,083","459,779","461,004","456,505","451,786","447,011","439,211","432,759","428,614","424,314","417,097","411,553","407,331","409,107"
대구광역시 달서구,8,15,대구광역시,달서구,"588,546","599,664","605,433","603,949","601,467","595,860","589,041","591,169","594,616","598,011","607,083","606,542","606,557","610,358","606,433","602,641","591,891","578,068","573,413","568,887","558,631","544,926","536,989","527,781","522,021"
대구광역시 달성군,9,15,대구광역시,달성군,"154,281","156,100","155,601","157,554","155,905","158,353","158,314","160,443","171,001","176,135","178,899","180,351","184,366","184,358","184,902","192,747","218,268","243,375","250,543","256,540","259,339","262,451","263,162","262,084","257,580"
대구광역시 군위군,9,11,대구광역시,군위군,"32,637","34,055","31,654","29,762","28,825","27,709","26,687","25,781","25,309","24,966","24,736","24,268","24,119","24,172","24,170","24,126","24,171","24,215","23,919","23,843","23,256","22,945","23,340","22,988","22,463"
인천광역시 중구,1,7,인천광역시,중구,"71,522","73,637","78,375","85,415","89,993","92,300","91,916","89,768","88,713","89,688","92,890","93,581","98,648","107,774","111,929","114,493","115,249","117,999","122,499","135,135","139,729","143,633","152,931","158,958","167,113"
인천광역시 동구,1,5,인천광역시,동구,"76,057","75,788","74,747","80,966","81,243","78,128","75,699","74,087","74,866","77,308","79,663","78,692","76,720","75,093","73,978","72,571","71,014","69,487","66,233","64,427","62,542","61,486","58,999","59,482","58,296"
인천광역시 미추홀구,2,7,인천광역시,미추홀구,"420,348","425,371","432,716","433,138","430,889","420,403","416,672","412,379","420,741","419,935","423,876","417,996","414,500","411,330","408,305","404,893","417,103","419,267","416,542","408,862","404,343","407,464","406,004","405,995","412,274"
인천광역시 연수구,1,8,인천광역시,연수구,"262,319","261,038","259,254","257,564","255,998","265,658","271,010","268,780","268,668","271,497","279,230","287,903","292,589","300,305","310,703","319,052","328,627","335,142","346,359","366,550","387,450","389,644","385,796","392,416","400,213"
인천광역시 남동구,2,8,인천광역시,남동구,"407,845","407,615","403,574","392,478","384,244","379,310","390,044","425,217","450,054","463,414","473,423","495,469","503,597","507,021","514,656","531,395","530,982","536,578","537,161","532,704","525,354","518,272","506,181","492,415","486,225"
인천광역시 부평구,2,6,인천광역시,부평구,"546,520","552,093","558,310","554,027","557,144","567,347","570,283","568,905","569,246","563,920","567,493","560,936","559,047","556,985","556,992","555,844","549,716","539,941","524,640","511,577","494,962","486,765","489,118","494,138","493,200"
인천광역시 계양구,2,5,인천광역시,계양구,"337,077","339,696","341,074","340,175","337,103","335,435","342,335","342,564","342,299","344,039","347,810","344,299","342,202","343,806","339,538","334,332","330,284","323,784","312,680","303,471","296,750","295,696","288,856","280,266","280,227"
인천광역시 서구,1,4,인천광역시,서구,"342,973","348,450","350,121","347,117","362,269","380,916","384,431","399,430","393,346","395,508","408,068","436,134","469,887","490,035","498,686","504,606","510,733","516,017","538,596","544,556","542,040","555,380","589,013","624,358","634,064"
인천광역시 강화군,1,3,인천광역시,강화군,"67,100","66,860","65,698","65,044","65,114","65,389","65,510","66,466","67,387","67,049","67,104","66,779","66,752","66,735","67,118","67,667","68,010","68,754","68,896","69,178","69,203","69,693","69,803","69,005","69,402"
인천광역시 옹진군,0,8,인천광역시,옹진군,"14,008","14,050","14,120","14,270","14,820","15,609","16,491","16,980","17,376","18,221","18,739","19,485","20,039","20,698","20,703","20,962","21,351","21,573","21,036","20,566","20,455","20,342","20,613","20,377","19,996"
광주광역시 동구,3,20,광주광역시,동구,"123,647","119,182","117,225","116,486","117,733","114,480","114,086","115,066","109,963","107,772","104,449","106,495","105,580","103,016","100,786","98,784","95,791","95,448","94,475","98,585","102,897","103,470","105,909","107,176","106,203"
광주광역시 서구,2,20,광주광역시,서구,"287,867","300,999","312,205","313,808","315,987","311,511","309,362","307,072","304,885","299,825","303,219","317,936","316,545","315,276","310,317","305,028","309,579","306,957","304,172","300,975","296,576","291,231","287,401","283,991","279,050"
광주광역시 남구,2,21,광주광역시,남구,"231,501","226,143","221,357","216,102","213,321","214,524","211,744","209,024","213,073","213,697","216,863","219,041","218,313","216,254","219,815","221,318","219,729","218,454","216,369","218,060","214,579","215,575","212,379","209,646","207,597"
광주광역시 북구,3,19,광주광역시,북구,"475,992","474,409","471,364","462,384","458,030","454,241","460,985","466,181","474,121","469,410","466,866","444,483","443,677","445,489","447,685","446,316","441,066","438,780","439,773","433,533","430,431","427,114","424,707","421,683","423,961"
광주광역시 광산구,2,19,광주광역시,광산구,"252,902","263,032","275,301","286,982","296,101","306,989","311,621","316,101","320,660","342,936","363,239","375,509","385,101","392,875","397,281","400,753","403,049","404,131","404,547","405,315","405,579","404,221","400,654","396,741","391,611"
대전광역시 동구,5,13,대전광역시,동구,"252,684","246,824","240,487","240,212","238,532","234,724","236,504","244,496","245,973","246,116","248,835","251,285","251,945","250,653","245,493","239,579","234,959","230,516","229,071","226,771","223,021","222,222","219,751","217,628","218,513"
대전광역시 중구,5,14,대전광역시,중구,"267,014","268,306","265,597","268,351","265,962","266,635","263,592","265,430","264,678","264,035","265,846","265,502","264,125","264,913","261,165","256,186","252,490","248,933","244,421","240,473","235,550","230,341","227,108","223,256","225,008"
대전광역시 서구,4,14,대전광역시,서구,"476,893","485,363","496,217","500,551","508,552","509,225","505,600","501,935","499,172","499,297","499,742","499,124","496,513","498,917","496,132","490,859","491,011","487,448","484,663","481,222","477,880","473,365","470,374","464,634","457,951"
대전광역시 유성구,4,13,대전광역시,유성구,"157,638","171,732","187,346","193,974","203,478","220,767","243,130","250,523","259,831","266,585","281,692","294,353","306,312","313,968","327,461","335,312","343,222","348,428","349,790","349,373","351,047","351,277","356,093","366,845","369,468"
대전광역시 대덕구,5,12,대전광역시,대덕구,"231,377","230,939","229,926","229,208","226,947","223,287","217,332","213,275","211,241","208,147","207,549","205,339","205,688","204,360","201,558","196,839","192,688","186,902","181,991","177,031","176,384","175,046","172,746","169,853","168,217"
울산광역시 중구,11,14,울산광역시,중구,"232,038","232,911","234,865","233,629","235,232","235,417","234,896","236,573","233,898","230,212","232,915","232,634","233,013","234,607","238,825","244,481","242,536","238,652","231,973","223,581","217,595","212,883","208,132","208,668","207,000"
울산광역시 남구,12,15,울산광역시,남구,"335,409","344,011","347,695","347,485","347,323","347,162","345,769","342,675","343,922","343,740","344,131","343,504","346,836","349,064","347,759","343,598","340,714","335,439","330,732","323,819","320,064","313,819","310,638","307,232","304,885"
울산광역시 동구,12,14,울산광역시,동구,"186,944","185,951","186,641","186,135","185,383","184,599","185,954","181,844","176,431","173,841","170,764","172,172","175,479","178,468","176,668","174,963","174,514","169,605","164,642","159,656","156,806","154,096","151,711","152,287","150,836"
울산광역시 북구,12,13,울산광역시,북구,"121,073","122,480","124,515","131,775","139,165","146,117","148,772","155,642","166,469","171,674","177,488","182,504","184,088","185,695","188,733","191,063","195,285","200,718","206,434","217,796","219,014","218,735","218,670","216,477","216,522"
울산광역시 울주군,11,15,울산광역시,울주군,"164,761","170,265","171,321","173,843","174,350","174,353","177,103","183,261","191,687","195,399","201,000","204,680","207,840","208,646","214,392","219,429","219,255","220,718","221,842","223,167","222,538","222,059","221,512","218,997","218,806"
세종특별자치시,4,11,세종특별자치시,세종시,0,0,0,0,0,0,0,0,0,0,0,0,"113,117","122,153","156,125","210,884","243,048","280,100","314,126","340,575","355,831","371,895","383,591","386,525","390,685"
경기도 수원시,6,9,경기도,수원시,"948,065","974,866","1,019,711","1,032,944","1,033,829","1,045,587","1,068,906","1,067,702","1,067,425","1,073,149","1,077,535","1,088,489","1,120,258","1,148,157","1,174,228","1,184,624","1,194,041","1,202,628","1,201,166","1,194,465","1,186,078","1,183,714","1,190,964","1,197,257","1,193,005"
경기도 성남시,7,8,경기도,성남시,"924,390","932,780","940,974","962,048","977,166","983,075","964,831","953,960","942,447","962,726","980,190","979,323","978,615","979,534","974,608","971,424","974,580","967,510","954,347","942,724","940,064","930,948","922,518","919,747","913,009"
경기도 의정부시,7,3,경기도,의정부시,"361,131","367,171","378,424","394,803","397,612","402,410","410,938","421,853","430,849","431,008","431,801","430,400","429,147","430,976","431,112","433,937","438,457","441,584","447,026","451,868","461,710","463,661","463,724","464,213","461,271"
경기도 안양시,3,4,경기도,안양시,"581,166","591,670","595,142","604,505","621,047","625,350","624,280","624,197","620,279","616,547","621,714","615,642","611,412","607,877","600,809","597,789","597,414","587,764","576,831","567,044","550,027","547,178","548,228","544,660","556,492"
경기도 부천시,2,4,경기도,부천시,"775,815","781,091","816,499","844,256","855,697","855,359","860,020","864,037","867,678","869,944","875,204","872,452","869,944","863,720","855,586","848,987","851,380","850,329","843,768","829,996","818,383","806,067","790,128","779,968","769,918"
경기도 광명시,3,3,경기도,광명시,"338,139","336,309","340,807","336,083","331,419","327,828","313,372","313,019","310,501","314,257","343,982","355,226","355,560","353,100","348,560","344,978","339,484","332,790","326,841","316,552","298,599","292,893","287,945","280,197","278,167"
경기도 평택시,5,9,경기도,평택시,"356,103","358,263","358,531","364,979","370,653","383,976","396,765","402,458","406,721","410,042","419,457","426,886","434,305","442,034","449,555","460,532","470,832","481,530","495,642","513,027","537,307","564,288","578,529","591,022","598,556"
경기도 동두천시,7,2,경기도,동두천시,"75,529","74,266","73,177","74,735","79,214","82,623","85,803","88,780","90,835","93,211","95,653","96,253","97,175","97,557","97,595","97,974","98,277","97,071","96,226","94,768","94,353","93,592","91,546","88,626","86,838"
경기도 안산시,3,6,경기도,안산시,"566,912","590,598","628,861","651,625","666,784","679,011","698,819","705,040","708,257","705,346","714,891","715,586","715,108","713,666","707,876","697,885","689,859","677,710","660,343","650,918","654,915","652,726","641,660","629,308","620,579"
경기도 고양시,4,2,경기도,고양시,"797,597","811,467","836,664","865,077","886,000","904,077","910,206","924,839","938,831","938,784","950,115","961,239","969,916","990,571","1,006,154","1,027,546","1,039,684","1,041,983","1,044,189","1,066,351","1,079,216","1,079,353","1,076,535","1,074,907","1,070,120"
경기도 과천시,7,7,경기도,과천시,"71,432","71,201","70,488","70,324","68,333","60,956","60,482","62,291","69,477","72,049","72,279","71,955","71,068","70,578","70,156","68,946","63,778","57,527","58,142","58,289","63,231","73,345","78,137","81,000","85,512"
경기도 구리시,9,4,경기도,구리시,"169,417","184,816","193,214","192,947","193,438","192,548","193,847","196,800","195,874","195,593","196,398","194,881","192,341","189,680","186,820","186,721","193,763","200,042","203,553","199,265","197,454","191,948","188,701","187,093","186,882"
경기도 남양주시,8,3,경기도,남양주시,"358,396","375,041","392,614","403,755","418,360","450,054","470,617","492,347","505,867","525,211","564,141","578,485","599,539","618,305","636,256","653,454","662,154","665,321","681,828","701,830","713,321","733,798","737,353","732,265","732,482"
경기도 오산시,3,8,경기도,오산시,"105,933","114,540","115,956","118,167","121,326","129,843","136,311","145,825","150,237","159,734","182,516","193,892","200,291","205,460","208,565","206,828","208,656","213,437","220,070","226,379","229,725","229,983","229,849","229,656","242,065"
