시군구명,x,y,광역시도,행정구역,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
전라북도 남원시,5,17,전라북도,남원시,"103,571","103,977","100,392","101,950","96,243","93,670","91,265","89,247","88,356","87,675","87,775","87,455","87,000","86,460","85,643","84,856","84,188","83,281","82,554","81,441","80,662","79,431","77,948","76,781","75,647"
전라북도 김제시,3,15,전라북도,김제시,"115,865","115,244","110,989","110,710","105,195","102,720","100,238","97,615","95,807","94,770","94,346","93,111","92,317","91,218","90,108","88,721","87,782","86,926","85,331","83,895","82,450","80,913","81,455","81,430","80,635"
전라북도 완주군,4,15,전라북도,완주군,"84,009","86,719","84,626","83,649","82,482","83,651","83,199","82,972","83,757","83,885","85,119","84,660","86,164","86,978","90,377","95,303","95,480","95,975","94,444","92,220","91,609","91,142","92,422","97,827","99,279"
전라북도 진안군,4,16,전라북도,진안군,"31,273","32,635","30,439","30,475","30,757","29,021","27,122","30,250","27,230","27,558","27,543","28,473","26,963","26,703","26,474","26,203","26,069","26,271","25,963","25,697","25,394","24,987","24,550","24,465","24,161"
전라북도 무주군,5,15,전라북도,무주군,"29,207","30,333","27,894","26,716","26,183","25,876","25,417","26,361","26,017","25,811","25,578","25,863","25,321","25,398","25,390","25,220","24,949","24,809","24,589","24,303","24,036","23,748","23,489","23,251","23,032"
전라북도 장수군,5,16,전라북도,장수군,"30,051","30,445","26,349","29,445","26,788","24,755","24,209","26,687","23,864","23,478","23,386","23,215","23,191","23,243","23,335","23,277","23,628","23,003","23,221","22,441","22,085","21,695","21,336","20,983","20,663"
전라북도 임실군,4,17,전라북도,임실군,"37,514","37,439","35,071","34,283","33,008","32,511","31,976","31,952","31,133","30,703","30,593","30,789","29,956","29,739","29,966","30,271","30,197","30,162","30,072","28,902","27,314","26,730","26,508","25,956","25,577"
전라북도 순창군,3,17,전라북도,순창군,"34,587","33,892","32,329","31,482","31,814","32,012","32,485","32,035","30,920","30,179","30,209","29,497","30,055","30,272","30,368","30,248","29,949","29,698","29,209","28,382","27,810","26,855","26,727","26,764","26,822"
전라북도 고창군,1,16,전라북도,고창군,"74,104","74,286","69,657","69,639","65,203","63,676","62,030","60,962","60,328","60,102","60,861","60,065","60,440","60,522","60,090","60,046","60,597","60,472","57,041","55,504","54,529","53,386","52,338","51,750","50,982"
전라북도 부안군,2,15,전라북도,부안군,"74,716","75,914","70,374","68,066","66,766","65,018","63,243","61,879","60,872","60,204","60,138","59,080","58,869","59,164","57,534","56,848","57,005","56,086","54,441","53,295","52,140","50,795","50,094","49,187","48,066"
전라남도 목포시,0,20,전라남도,목포시,"245,492","245,344","244,909","241,460","241,717","242,988","241,679","243,312","245,651","244,339","245,422","244,871","245,073","240,936","239,109","238,382","237,739","234,379","232,327","229,861","224,044","218,589","216,939","214,156","209,890"
전라남도 여수시,4,21,전라남도,여수시,"323,913","320,146","315,536","310,350","305,312","301,389","297,489","295,439","295,133","293,546","293,488","292,750","292,217","291,366","290,900","290,168","288,988","286,382","283,300","282,786","280,242","276,762","274,765","271,696","267,816"
전라남도 순천시,4,20,전라남도,순천시,"270,345","271,734","271,139","269,843","270,059","270,934","269,940","270,380","269,429","269,516","272,620","272,201","273,798","275,668","277,188","278,765","278,548","279,331","279,389","279,598","282,189","281,436","278,737","278,137","276,329"
전라남도 나주시,1,20,전라남도,나주시,"108,459","105,832","102,825","101,708","99,308","97,980","96,417","95,439","92,884","90,875","90,118","88,243","88,067","87,754","90,669","98,182","104,376","110,110","113,839","114,664","115,613","116,726","116,456","117,377","116,654"
전라남도 광양시,5,20,전라남도,광양시,"137,940","138,238","137,913","136,484","137,601","138,098","138,237","138,865","141,388","143,461","145,512","150,725","150,837","151,621","152,097","153,587","155,580","155,857","156,564","156,750","151,769","150,531","152,168","152,666","154,692"
전라남도 담양군,2,18,전라남도,담양군,"55,089","53,268","51,535","50,933","50,613","50,364","50,332","50,441","48,347","47,286","47,808","47,819","47,612","47,365","47,177","47,009","47,229","47,285","46,917","46,535","46,280","46,180","45,792","45,373","44,623"
전라남도 곡성군,3,18,전라남도,곡성군,"41,149","38,767","36,754","35,297","34,396","34,157","33,631","33,311","32,608","32,084","31,886","31,332","30,878","31,009","30,732","30,672","30,400","30,131","29,624","28,887","28,039","27,535","27,060","26,905","26,566"
전라남도 구례군,4,18,전라남도,구례군,"33,588","32,948","31,755","30,509","30,232","29,577","28,837","28,203","27,703","27,518","27,375","27,422","27,077","27,115","27,170","27,308","27,412","27,525","27,117","26,563","25,719","25,235","24,655","24,314","24,025"
전라남도 고흥군,3,22,전라남도,고흥군,"100,989","95,864","92,715","91,518","86,747","83,830","81,068","78,589","76,605","75,127","73,924","72,607","71,560","70,631","69,641","68,601","67,656","66,736","65,777","64,913","63,922","62,762","61,880","61,113","60,190"
전라남도 보성군,3,21,전라남도,보성군,"61,329","59,417","57,282","55,983","54,288","53,145","51,948","50,921","50,004","49,048","48,792","47,894","47,050","46,385","45,882","45,349","44,469","43,755","42,803","41,420","40,482","39,375","38,471","37,686","37,045"
전라남도 화순군,4,19,전라남도,화순군,"78,610","79,219","78,443","76,123","75,023","73,673","72,615","71,551","70,327","69,675","69,368","68,985","68,378","67,829","66,772","65,848","65,303","64,680","63,933","62,737","62,522","62,624","62,024","61,254","60,735"
전라남도 장흥군,2,22,전라남도,장흥군,"53,392","51,738","50,232","47,837","46,568","45,542","44,451","43,468","42,783","42,097","42,394","42,552","42,672","43,004","43,190","43,513","40,669","40,136","39,312","38,563","37,800","36,547","35,650","35,046","34,451"
전라남도 강진군,1,22,전라남도,강진군,"49,254","50,846","46,381","44,743","43,550","42,696","41,938","41,352","41,153","41,164","41,624","41,599","40,241","40,079","39,861","38,758","37,753","36,868","36,144","35,286","34,597","33,753","33,177","32,722","32,189"
전라남도 해남군,0,21,전라남도,해남군,"99,230","96,445","92,323","89,981","87,736","86,238","84,338","82,529","81,043","81,148","79,579","78,346","78,150","77,684","76,981","76,194","75,121","73,604","71,901","70,354","68,806","67,166","65,831","64,575","63,120"
전라남도 영암군,1,21,전라남도,영암군,"65,268","64,391","64,637","63,267","62,336","62,004","61,546","60,742","60,106","59,837","60,082","60,139","59,997","59,061","58,852","58,137","57,045","55,616","54,731","54,593","53,699","52,937","52,395","52,350","51,391"
전라남도 무안군,1,19,전라남도,무안군,"70,212","68,904","65,976","63,681","62,472","61,915","61,766","63,674","66,598","72,417","74,475","75,718","75,741","79,367","81,696","82,236","82,109","82,872","81,991","81,105","86,132","91,107","90,608","90,296","92,687"
전라남도 함평군,1,18,전라남도,함평군,"45,232","43,522","41,965","42,119","40,205","40,189","38,647","37,998","37,432","37,089","36,702","36,134","35,780","35,610","35,090","34,876","34,397","34,328","33,420","32,861","32,050","31,274","30,784","30,601","30,010"
전라남도 영광군,1,17,전라남도,영광군,"72,780","70,120","67,055","64,148","62,959","61,500","60,045","58,837","58,075","57,037","57,362","56,863","57,224","57,617","56,833","56,267","55,618","54,774","54,127","53,852","53,099","51,985","52,197","51,750","52,098"
전라남도 장성군,2,17,전라남도,장성군,"55,986","54,687","52,542","51,493","50,200","49,165","47,870","47,410","46,602","46,214","46,514","46,245","46,289","46,292","46,273","46,360","46,104","46,111","45,795","45,739","44,464","43,365","43,146","42,543","42,026"
전라남도 완도군,2,23,전라남도,완도군,"66,978","65,397","62,964","61,145","59,950","58,841","57,464","56,201","54,999","54,301","54,269","54,037","53,871","53,619","53,174","53,014","52,668","52,109","51,477","50,689","49,916","48,631","47,597","46,641","45,631"
전라남도 진도군,0,22,전라남도,진도군,"42,229","41,139","39,619","38,382","37,329","36,529","35,953","35,206","34,412","33,931","33,743","33,502","33,208","32,998","32,746","32,476","32,078","31,765","31,219","30,715","31,227","30,066","29,507","28,979","28,478"
전라남도 신안군,0,19,전라남도,신안군,"53,150","51,342","49,704","50,726","47,591","46,451","46,714","45,968","45,718","45,294","45,428","44,355","43,898","44,162","43,747","43,294","42,652","42,070","41,263","40,274","38,938","38,217","37,858","38,037","38,173"
경상북도 포항시,12,11,경상북도,포항시,"515,977","515,039","511,667","508,850","507,129","507,052","505,008","505,555","508,119","509,475","514,755","517,088","518,913","519,467","519,368","519,584","516,775","513,832","510,013","507,025","502,916","503,852","496,650","493,033","491,581"
경상북도 경주시,12,12,경상북도,경주시,"290,149","287,506","284,589","281,177","277,870","275,087","273,419","272,206","269,343","267,466","267,098","265,488","264,091","263,283","261,535","259,773","259,452","257,903","256,864","255,402","253,502","251,889","249,607","247,489","244,769"
경상북도 김천시,8,11,경상북도,김천시,"149,864","150,858","146,666","150,306","143,527","141,632","139,682","139,084","138,056","135,918","136,136","136,185","135,504","135,259","135,456","140,132","142,256","142,908","141,104","141,229","140,548","140,239","139,324","137,515","135,446"
